,msp,perplexity,confidence,entropy,Class
119,4.6407857,10.179672,[0.7754934  0.22450666],1.978893,human
120,2.0489993,2.7857013,[0.6480252 0.3519748],0.93414956,human
121,1.0068451,1.6543739,[0.2807117 0.7192883],0.2970867,human
122,3.5814118,5.993682,[0.3161493  0.68385065],1.6488605,human
123,1.6760072,2.3117473,[0.31626883 0.6837312 ],0.6963519,human
124,0.5049304,1.2871947,[0.38936773 0.6106323 ],0.20268393,human
125,3.3516784,5.3432775,[0.24287492 0.7571251 ],1.3834927,human
126,4.393764,8.996918,[0.40679905 0.593201  ],2.1617255,human
127,5.2189455,13.591883,[0.6453006 0.3546994],2.5225182,human
128,2.5755908,3.6247869,[0.85404736 0.14595267],0.66229856,human
129,2.4029024,1.1276605,"[[0.03645067 0.03435597 0.05382625 0.04481756 0.05495091 0.04691187
  0.0551156  0.0491408  0.05540678 0.04949274 0.05549703 0.04632495
  0.05555358 0.04760084 0.05562983 0.04912889 0.05566846 0.04841733
  0.05566334 0.05004651]]",0.10396501,human
130,2.0017724,2.720692,[0.39534783 0.6046521 ],0.9564208,human
131,2.9902098,4.4598045,[0.381009   0.61899096],1.4373624,human
132,3.5647306,5.9438987,[0.5627119  0.43728805],1.7665508,human
133,2.4911625,3.474954,[0.11874567 0.8812543 ],0.48140943,human
134,2.939403,4.347937,[0.21051659 0.7894834 ],1.0870583,human
135,1.2142749,1.8351706,[0.36517426 0.63482577],0.53258204,human
136,2.5086436,3.50546,[0.75297344 0.24702655],0.9723743,human
137,2.6847124,3.8280525,[0.58114886 0.41885117],1.3157806,human
138,1.8308742,1.0958647,"[[0.04101534 0.05338067 0.04536098 0.05386104 0.04349922 0.05399722
  0.04672084 0.05418835 0.04856712 0.05421995 0.04476386 0.05426936
  0.04612334 0.05432975 0.04731109 0.05428981 0.04813211 0.05435564
  0.0472314  0.05438286]]",0.08358401,human
139,1.5465626,2.1668646,[0.17695267 0.8230473 ],0.27671504,human
140,4.133213,7.897976,[0.6926102  0.30738977],1.9101394,human
141,3.05996,4.618084,[0.7344432  0.26555684],1.2914848,human
142,0.81411576,1.502391,[0.3534726 0.6465274],0.31858325,human
143,4.13887,7.920346,[0.351174   0.64882606],1.9780734,human
144,1.3268217,1.9414028,[0.26634228 0.73365766],0.4266548,human
145,3.0676205,4.635807,[0.05082638 0.9491736 ],0.21899997,human
146,2.4735074,3.4444137,[0.16038992 0.8396101 ],0.674587,human
147,2.2042427,3.0105455,[0.40160275 0.59839725],1.0628815,human
148,4.6105337,10.0268545,[0.7594159  0.24058406],2.0070734,human
149,0.9022621,1.570087,[0.45475712 0.54524285],0.44292092,human
150,0.9580717,1.6145171,[0.47126615 0.52873385],0.47572964,human
151,3.4537034,5.6229234,[0.4187313  0.58126867],1.7001969,human
152,1.5918128,2.2164493,[0.28412807 0.7158719 ],0.59642434,human
153,4.0869794,7.717494,[0.37956053 0.62043947],1.9843041,human
154,6.737184,1.4005418,"[[0.03989158 0.01208662 0.03410693 0.04030172 0.04499886 0.05253057
  0.05227865 0.05217929 0.05357761 0.05623237 0.05470835 0.0535647
  0.05403333 0.05552837 0.0561007  0.05641513 0.0574101  0.05884601
  0.05835368 0.05685544]]",0.2630703,human
155,3.0368843,4.5651083,[0.08222385 0.91777617],0.51055384,human
156,1.3172001,1.9320855,[0.25725028 0.74274975],0.40121016,human
157,1.6171255,2.2446795,[0.22795887 0.77204114],0.47670722,human
158,3.549335,5.8983192,[0.23790982 0.7620902 ],1.4695492,human
159,5.878256,18.899357,[0.53182673 0.46817327],2.9350705,human
160,3.029587,4.5484815,[0.09768554 0.9023145 ],0.6203642,human
161,3.1834502,4.9122157,[0.6780536  0.32194635],1.4591033,human
162,0.57118714,1.3305516,[0.49803087 0.50196916],0.28557807,human
163,1.6589797,2.2921493,[0.22987661 0.7701234 ],0.50290847,human
164,1.4342654,2.048551,[0.60914063 0.39085934],0.6687068,human
165,1.4260536,2.040157,[0.44768178 0.5523182 ],0.7020378,human
166,4.5057416,9.515013,[0.13638823 0.8636118 ],1.5817823,human
167,4.6063185,10.005743,[0.48470488 0.51529515],2.3022232,human
168,5.559103,16.111792,[0.5282346  0.47176537],2.7763593,human
169,2.8337736,4.1242604,[0.3038311  0.69616896],1.2542393,human
170,5.3139634,1.3043413,"[[0.00625255 0.03054242 0.04133341 0.04761963 0.05105691 0.05247005
  0.05273268 0.05346873 0.05522087 0.05559977 0.05361661 0.05364108
  0.05503791 0.05520312 0.05494478 0.05567884 0.05672194 0.05651689
  0.05621566 0.05612612]]",0.15608981,human
171,7.043037,1.4221244,"[[0.01041064 0.00775888 0.02242903 0.05519321 0.04461893 0.06121729
  0.05113159 0.06222485 0.05489738 0.06261551 0.04486361 0.06283575
  0.0485808  0.06291535 0.05249302 0.06296057 0.05235477 0.06302968
  0.05436716 0.06310196]]",0.16368365,human
172,2.8507283,4.1593723,[0.12922041 0.87077963],0.7179651,human
173,2.8289347,4.114294,[0.3025016  0.69749844],1.2494744,human
174,4.2056613,8.189319,[0.47383127 0.5261687 ],2.100089,human
175,3.0748308,4.6525497,[0.46178785 0.5382121 ],1.5315633,human
176,0.9862889,1.6374571,[0.54791605 0.45208395],0.48393238,human
177,2.6088476,3.685565,[0.07815449 0.92184544],0.26343977,human
178,1.3546908,1.9686449,[0.21312824 0.7868718 ],0.30264175,human
179,1.4326386,2.0468853,[0.2825435  0.71745646],0.51367605,human
180,7.3301196,1.4426849,"[[0.01549534 0.02496916 0.01332917 0.03140184 0.03994429 0.04767459
  0.05078224 0.05447475 0.05628952 0.05806829 0.05875544 0.05933585
  0.0595576  0.06053064 0.06109511 0.06161994 0.06167694 0.06179057
  0.06162253 0.06158621]]",0.22571608,human
181,3.6348853,6.156095,[0.32606637 0.6739336 ],1.6911615,human
182,3.856866,1.2126927,"[[0.00868599 0.03248014 0.0455288  0.05009302 0.05225945 0.05279805
  0.0526354  0.05326909 0.05453076 0.05481406 0.05255338 0.05263938
  0.05383383 0.05449849 0.05425738 0.0544709  0.0553246  0.05525627
  0.05499073 0.0550803 ]]",0.107428536,human
183,1.7788925,1.0930201,"[[0.03487165 0.05231863 0.04377764 0.05357764 0.04552418 0.05359134
  0.04826192 0.05395747 0.048019   0.05400679 0.04662859 0.05406337
  0.04797409 0.05409665 0.04898827 0.05415042 0.04797401 0.05413492
  0.04994    0.05414355]]",0.0788399,human
184,2.896091,4.254791,[0.21645287 0.7835471 ],1.0832739,human
185,1.9317844,2.6271307,[0.16017163 0.8398284 ],0.40281302,human
186,3.4841905,5.709293,[0.22593533 0.7740647 ],1.4046102,human
187,0.94227874,1.0482415,"[[0.04827086 0.05211231 0.04802409 0.05204317 0.04751896 0.05202048
  0.04920889 0.05218673 0.04931306 0.0521727  0.04723019 0.05196517
  0.04677513 0.0520754  0.04756713 0.05208617 0.04773691 0.0519488
  0.04781907 0.05192477]]",0.045300763,human
188,0.51213783,1.2918417,[0.57816947 0.4218305 ],0.23142494,human
189,1.7382315,2.3848011,[0.83641833 0.16358162],0.3201427,human
190,2.392221,3.3072283,[0.13182007 0.8681799 ],0.5021057,human
191,8.278816,1.5127676,"[[0.01592947 0.06162577 0.00821756 0.02870817 0.0303112  0.04299027
  0.04321694 0.05502686 0.05198534 0.05729634 0.05741246 0.05958169
  0.05784731 0.06085723 0.06070222 0.06134442 0.06111423 0.0621428
  0.06177846 0.0619112 ]]",0.25153652,human
192,6.623594,1.3926101,"[[0.03456428 0.01075042 0.05506805 0.02326865 0.06139217 0.03324165
  0.06278274 0.03993211 0.06355701 0.04404819 0.06344252 0.04432631
  0.06371052 0.05135861 0.06431383 0.0517652  0.06413119 0.05239198
  0.06383794 0.05211672]]",0.20784886,human
193,3.4613914,5.6445794,[0.4061168  0.59388316],1.6950161,human
194,1.2003624,1.822449,[0.31674063 0.68325937],0.459293,human
195,1.4507767,2.0655332,[0.46215907 0.5378409 ],0.7196496,human
196,4.290181,8.542815,[0.14005917 0.8599408 ],1.4918704,human
197,2.7137094,3.8839579,[0.32432854 0.67567146],1.2279207,human
198,3.9402003,7.1713943,[0.25493386 0.7450661 ],1.7072742,human
199,2.1375182,2.9117637,[0.82801455 0.1719854 ],0.55324435,human
