,PHD
490,9.871064686972653
491,6.6686239803579195
492,9.654131817318005
493,9.484647185875254
494,8.776229668150432
495,8.86158068220118
496,6.2061149019680855
497,7.009093840444711
498,6.9357841944688365
499,10.316839040670926
500,8.702284638062883
501,9.653007124157272
502,7.517045911483964
503,7.398976824123959
504,7.520805182832398
505,6.98090011704669
506,10.040935343935411
507,8.038517837008508
508,9.498091571469182
509,9.064616416422536
510,6.26774813221123
511,7.39976677797416
512,8.934911270123717
513,8.454310561069704
514,10.788169418263116
515,9.18084690648468
516,10.542780291817943
517,8.682841735276048
518,9.173229482269962
519,9.330258090519937
520,11.64632582254644
521,8.594913819107397
522,9.26147770105699
523,7.157968839553701
524,7.699082181861182
525,8.719677543578838
526,8.5375417491549
527,11.016316719270334
528,7.609266887312794
529,8.317795800570511
530,7.8740073201539635
531,10.673361895075425
532,9.30222907314075
533,10.123980807904355
534,8.74450340635194
535,6.40084960781105
536,5.506922168767781
537,11.966900406050598
538,6.35939876472483
539,7.847888918944735
540,7.732332372680643
541,7.517575875691396
542,5.477731528663804
543,6.549381758495542
544,7.719813809026311
545,8.500810458758309
546,8.883436642757264
547,7.946342389856897
548,10.708207127803561
549,10.460400285668555
550,9.83256420355918
551,9.178775268378834
552,7.107605468634893
553,5.929676143395808
554,8.379312346132824
555,7.320876159378326
556,8.582110247905186
557,9.89119230999015
558,8.924906352353313
559,4.565496120613291
560,10.334244674312812
561,8.628926181755764
562,9.773126126476615
563,8.055308434280827
564,6.585866784211577
565,11.838753731846067
566,11.645833231612894
567,7.58528704093615
568,9.572542652502218
569,7.703954377751433
570,9.372500045776416
571,8.201268297571769
572,8.888606143739423
573,10.2691489831418
574,8.36320183215292
575,8.868299052297735
576,9.975539588258679
577,8.301204930206865
578,8.308746307054045
579,7.102329337663479
580,7.9622357900836604
581,9.096124314918287
582,8.434581104199482
583,8.468364426112363
584,6.622443570767819
585,6.252696826051888
586,10.473898621543487
587,9.51309592932643
588,12.416657118872
589,5.770768777475474
590,7.0543484791815105
591,8.743750155392776
592,8.783398686277911
593,9.34628244848555
594,11.204758824094506
595,5.997229506879289
596,8.813518838413618
597,6.870610418016604
598,8.925380544691249
599,8.748551803661535
600,9.019198117767965
601,10.72692043740685
602,9.906999200840364
603,6.865440130399706
604,7.974935242726266
605,8.541709191130137
606,9.156370621456906
607,10.151473630180275
608,8.709188118957318
609,10.72048818261209
610,7.685246426680973
611,8.937876686226085
612,9.733888728096645
613,7.038881016293552
614,7.577452524996615
615,8.626543932001548
616,8.063965978305092
617,10.22897790875629
618,8.43031464049885
619,8.850463902054182
620,7.47761093716316
621,8.331077369834532
622,9.26007111685908
623,7.160349117507022
624,4.443287206869369
625,10.435157002947355
626,9.285390826527495
627,8.616657808439248
628,11.29316282485242
629,6.773680181512676
630,7.390218795518175
631,7.284359795605667
632,7.138084995510626
633,9.82795138929741
634,6.0968025375379336
635,9.429501569477543
636,9.31855895335911
637,7.486960810418495
638,8.339341559897912
639,9.406802168556444
640,9.693763328799493
641,8.722995737384595
642,6.710336866881002
643,10.227814681694754
644,8.990218310029245
645,6.388622488087813
646,9.594616620548823
647,9.363788117153002
648,6.443378391828951
649,7.5959055053086395
650,9.90385175022395
651,8.095831301276013
652,8.788225485228986
653,8.734023120535657
654,7.853518980114858
655,10.315955313656112
656,8.011006435671696
657,8.909353881791978
658,9.434330266438659
659,9.571007534818047
660,9.228837700646585
661,8.064055005281034
662,7.435316468343935
663,7.107619136214075
664,8.207721078350223
665,8.650709308879788
666,8.753369870660576
667,10.283422738854384
668,9.295066347043823
669,8.610359619055487
670,7.24240904685104
671,8.982194248259676
672,7.8308796371883425
673,5.769722097133422
674,8.176435189315741
675,6.105640393115793
676,10.2354289346751
677,8.036183901954493
678,10.7581949504988
679,6.352964513685524
680,8.064271280265642
681,8.166265497139618
682,11.038872460534302
683,8.180288787196812
684,8.813383451775431
685,7.046088471399103
686,9.355202348754416
687,8.439834161144034
688,10.362738012076449
689,10.741648331387415
690,9.882192312948389
691,8.121686888317361
692,7.891941208678072
693,7.517219623726312
694,7.857976406602702
695,6.218521692933815
696,7.255522514451762
697,6.992007523333207
698,8.691346741522757
699,6.634036591208529
700,7.825163003088386
701,9.541885975300794
702,6.673169798038473
703,8.048800410590628
704,9.458260934851664
705,9.513943900066025
706,9.459108057772191
707,9.514799292949945
708,10.286404607528372
709,6.8738159150825195
710,7.883949697359552
711,8.757849468818728
712,7.949622266332455
713,6.467364043902178
714,6.769580304479845
715,8.081239047049106
716,6.4499523845193725
717,7.327380291785738
718,8.204680071943654
719,10.36503522126085
720,11.520506005662982
721,10.082771283173257
722,10.523608768221854
723,8.312167723147349
724,9.654639392844029
725,5.9200141028088655
726,8.031227524819668
727,10.162267266592618
728,8.860628678443007
729,7.361105930634931
730,9.552213359831468
731,11.395553696831554
732,8.653205086495959
733,10.852635311734394
734,8.6824872618823
735,10.511877895740605
736,9.682624792343328
737,9.47256689074218
738,9.26317803294233
739,8.745782033645712
740,6.445951107763037
741,6.968948626610783
742,6.227488020224065
743,9.467617437482433
744,8.775266922239606
745,10.38123439909193
746,9.94842676181504
747,10.711492823836664
748,9.993202895215465
749,8.636279133845909
750,7.333983109218007
751,10.555360081945894
752,9.109284229323107
753,8.080948752452102
754,6.43638149598733
755,9.444143748575069
756,8.11891860027611
757,8.331563492456722
758,10.864135310595904
759,9.71041210123178
760,9.784467023747931
761,8.769069341094548
762,5.443718935879808
763,6.216037492124421
764,8.137179469676568
765,7.858344990942396
766,8.735303862327047
767,9.130652767691974
768,8.994702688689824
769,6.0411746834111675
770,8.706528572373417
771,7.820569010782107
772,8.832036674026579
773,8.912558804597309
774,9.934831640614307
775,8.492108804082122
776,8.71598638466776
777,8.672358973663371
778,9.436406791475077
779,9.50374906226036
780,7.145806074229041
781,8.574961515437442
782,9.936807000854
783,8.666010023113385
784,8.977236290909003
785,10.47980388045803
786,7.188364179951882
787,9.455086494208242
788,7.367590728631007
789,8.908684210512348
790,10.096088020313976
791,8.682468454596416
792,8.802187279127892
793,8.303430346629957
794,5.949558842500006
795,9.373391972206585
796,7.001816178093581
797,8.839732469962955
798,9.260926151930521
799,8.291426092748196
800,9.062651866925977
801,13.639310896701792
802,8.643650550213007
803,9.830518462305855
804,9.228932709861242
805,8.376160618993591
806,8.53663023921821
807,7.858650821136879
808,8.075345591702254
809,8.128049979022961
810,9.848454163667624
811,6.82144755877127
812,10.263434792925514
813,10.90148240202492
814,7.689634716305348
815,8.396546962277409
816,6.744008906321568
817,10.269564775116686
818,9.975584983787348
819,8.768795361805001
820,8.902287283016001
821,8.2724092074207
822,7.995742741262315
823,11.429597222279675
824,9.52304390343425
825,8.769801391812381
826,8.558561833461464
827,9.540923893696654
828,10.22141821470415
829,9.132965570093766
830,8.669748167898154
831,9.50403971063895
832,9.350509048329851
833,9.693142977608217
834,9.932903079733679
835,6.924948081165672
836,9.573668828383562
837,9.00079556045918
838,6.302279198787965
839,8.822280949236047
840,6.716314825027965
841,7.082119230341746
842,9.258160946164013
843,8.187289745292736
844,8.217559820150049
845,7.99654315414555
846,9.432235660143935
847,10.355542221532671
848,8.556790223475595
849,8.397158596288941
850,7.23080159933688
851,9.535108176864084
852,8.211837399616453
853,8.656314456120796
854,9.929716139547159
855,6.988874105106752
856,6.484224255663803
857,9.449585237038773
858,10.335859719714003
859,7.460517236349502
860,7.795067004132847
861,9.091364210836975
862,10.247148565636142
863,9.183483558954327
864,7.862382007095126
865,10.288206981297819
866,5.931375527400592
867,10.340625260907933
868,9.454082635270618
869,10.725466049167958
870,10.026118055164345
871,4.369693522369072
872,9.568776072235337
873,8.161203330828037
874,8.795026448002057
875,9.641620764824944
876,8.433178576550365
877,5.991245340462952
878,9.596385456701102
879,8.376566865055501
880,7.679404144610118
881,6.306702265386826
882,9.238205271671141
883,7.4280027446871335
884,8.75129316138655
885,7.341213804966734
886,6.332754303736653
887,8.394235810406839
888,7.191587566466671
889,10.453373895207786
890,8.95924190740726
891,8.654760207204475
892,10.101003868183025
893,7.555952931766807
894,9.860555092216071
895,6.992551234540891
896,6.4334542064366556
897,6.277606137293388
898,10.268958634422724
899,5.743199902975131
900,8.936912955944173
901,7.9001326875070985
902,7.3017472414890205
903,8.065304276524751
904,7.0754520449145
905,8.926554347096083
906,9.654686472659705
907,9.174779617766871
908,10.892728472416142
909,8.378715003311974
910,8.562484704092412
911,7.215079119438163
912,8.652300110974421
913,9.246132494961458
914,6.4003165608493084
915,8.323777343617879
916,8.939918981916946
917,7.630749899346289
918,10.27456560236388
919,9.899998566921683
920,10.357480074036562
921,9.133293382791006
922,7.110766041946057
923,7.864128640777199
924,9.566784267632654
925,8.359286440155865
926,8.496946222645823
927,7.908797165385117
928,7.489794719720105
929,11.021620827042948
930,8.127170367198838
931,8.105008901362076
932,9.345754093975017
933,9.420100396140642
934,8.513464377757215
935,7.164673751093311
936,5.1231058597394155
937,4.220338987164407
938,7.2657089187938855
939,9.316753079574918
940,7.018219611761914
941,7.977401682535393
942,9.584464200844264
943,8.92222380779305
944,9.080580572271234
945,8.948093280377
946,5.0630821323430775
947,7.102790415589233
948,8.927325033727392
949,7.595091906681279
950,9.996256214655862
951,8.164347034434353
952,10.237737626008318
953,8.73230974583878
954,10.807976827414752
955,8.691576233558143
956,9.612242684220226
957,9.369843539944242
958,10.761219535560372
959,9.268070465829156
960,8.879048528356632
961,8.506725508198826
962,8.808064655781605
963,10.57860216018208
964,6.252904465730718
965,9.40707931432656
966,9.155730483970345
967,10.488429409922547
968,9.444112733700534
969,7.6885826724837685
970,7.442089441665627
971,9.115543082664383
972,9.107516779159933
973,7.971503842648375
974,8.129728479817818
975,7.737985406003256
976,10.042265743816717
977,8.418895368119628
978,7.342927040140122
979,10.03551164994083
